Subject,technique,density,trial_time
10,Cone,high,3.4443436
10,Cone,low,2.1858642
10,Cone,medium,2.5251282
10,Gravity,high,6.938586599999999
10,Gravity,low,5.6163926
10,Gravity,medium,4.174026400000001
10,Three,high,2.6285766
10,Three,low,1.9291992
10,Three,medium,3.1083312
10,Two,high,7.2099124
10,Two,low,5.479715000000001
10,Two,medium,4.5278824
11,Cone,high,4.6167602
11,Cone,low,3.5473386
11,Cone,medium,3.9734494
11,Gravity,high,5.2930410000000006
11,Gravity,low,5.5577666
11,Gravity,medium,7.1755792
11,Three,high,2.6156432
11,Three,low,3.0690798
11,Three,medium,8.094446000000001
11,Two,high,9.407984
11,Two,low,2.6738983999999997
11,Two,medium,3.7862732
12,Cone,high,2.425377
12,Cone,low,7.3231348
12,Cone,medium,2.91344
12,Gravity,high,12.0314636
12,Gravity,low,10.711761
12,Gravity,medium,6.1648742
12,Three,high,9.448871800000001
12,Three,low,4.8095922
12,Three,medium,7.0772762
12,Two,high,8.021035
12,Two,low,4.929004000000001
12,Two,medium,5.0122636
13,Cone,high,8.2894108
13,Cone,low,9.998908199999999
13,Cone,medium,11.0461214
13,Gravity,high,9.0378338
13,Gravity,low,6.3986298
13,Gravity,medium,7.8659229999999996
13,Three,high,4.017034799999999
13,Three,low,3.41870125
13,Three,medium,4.399208
13,Two,high,6.185217199999999
13,Two,low,6.3532592
13,Two,medium,4.9938720000000005
14,Cone,high,3.082352
14,Cone,low,2.0075868
14,Cone,medium,3.6984336
14,Gravity,high,6.3815108
14,Gravity,low,6.3124876
14,Gravity,medium,6.6325372
14,Three,high,7.1179694
14,Three,low,5.459082
14,Three,medium,3.843286
14,Two,high,6.4384092
14,Two,low,5.074010400000001
14,Two,medium,6.3113168
15,Cone,high,5.0757576
15,Cone,low,1.6649170000000002
15,Cone,medium,3.3582030000000005
15,Gravity,high,5.3210232
15,Gravity,low,4.0820252
15,Gravity,medium,4.535819999999999
15,Three,high,4.6705078
15,Three,low,2.5284362
15,Three,medium,6.6999886
15,Two,high,2.5119292
15,Two,low,2.488141
15,Two,medium,2.5658232
16,Cone,high,3.525271
16,Cone,low,2.1495667999999997
16,Cone,medium,3.5808746
16,Gravity,high,8.244587
16,Gravity,low,5.5995484
16,Gravity,medium,6.9276946
16,Three,high,3.7795312
16,Three,low,3.8853332000000003
16,Three,medium,4.4259506
16,Two,high,3.4225342
16,Two,low,3.1637086
16,Two,medium,4.1538696
17,Cone,high,6.3571776
17,Cone,low,6.5714722
17,Cone,medium,4.3579956
17,Gravity,high,5.0544792
17,Gravity,low,2.3642578
17,Gravity,medium,3.9565794
17,Three,high,2.4590332
17,Three,low,2.2006106
17,Three,medium,2.3096436
17,Two,high,1.60597
17,Two,low,1.4415042
17,Two,medium,1.8693832000000001
18,Cone,high,3.4974016
18,Cone,low,2.5030546
18,Cone,medium,2.4531158
18,Gravity,high,7.8767144
18,Gravity,low,5.9699852
18,Gravity,medium,7.4233428
18,Three,high,5.312481
18,Three,low,3.7888396
18,Three,medium,3.668988
18,Two,high,5.1953856
18,Two,low,5.278796
18,Two,medium,5.4135254
19,Cone,high,3.4333618
19,Cone,low,4.1627692
19,Cone,medium,5.035461333333333
19,Gravity,high,8.172007400000002
19,Gravity,low,5.563414799999999
19,Gravity,medium,8.4729948
19,Three,high,9.505706
19,Three,low,6.143592
19,Three,medium,5.4733612
19,Two,high,5.7332824
19,Two,low,4.2139892
19,Two,medium,2.9336302
2,Cone,high,4.6448304
2,Cone,low,3.4670196000000004
2,Cone,medium,1.8131132
2,Gravity,high,7.3457178
2,Gravity,low,5.499777
2,Gravity,medium,3.4169069999999997
2,Three,high,3.4714846
2,Three,low,4.2104248
2,Three,medium,3.4985962
2,Two,high,4.8656416
2,Two,low,4.2774018
2,Two,medium,7.088582
20,Cone,high,6.1208866
20,Cone,low,3.0462678
20,Cone,medium,4.1934874
20,Gravity,high,17.9876298
20,Gravity,low,6.432354800000001
20,Gravity,medium,8.7015805
20,Three,high,6.3633364
20,Three,low,4.229184200000001
20,Three,medium,4.0158448
20,Two,high,4.175293
20,Two,low,5.487914999999999
20,Two,medium,5.070812999999999
21,Cone,high,4.0961
21,Cone,low,6.7462526
21,Cone,medium,3.8204223999999996
21,Gravity,high,7.5650858
21,Gravity,low,3.4248846
21,Gravity,medium,3.8955874
21,Three,high,5.2308592
21,Three,low,3.3977418
21,Three,medium,5.9970942
21,Two,high,3.729268
21,Two,low,1.6748359999999998
21,Two,medium,3.253562
22,Cone,high,2.3809082
22,Cone,low,1.5592217400000001
22,Cone,medium,4.218850600000001
22,Gravity,high,9.358960249999999
22,Gravity,low,5.4381926
22,Gravity,medium,4.6300294
22,Three,high,2.3028199999999996
22,Three,low,1.795813
22,Three,medium,2.418451
22,Two,high,2.6710816
22,Two,low,2.2003114
22,Two,medium,2.1954957999999998
23,Cone,high,3.7117676000000004
23,Cone,low,3.689575
23,Cone,medium,5.329418800000001
23,Gravity,high,7.348112
23,Gravity,low,4.4331308
23,Gravity,medium,5.042868
23,Three,high,7.7063484
23,Three,low,3.8866820000000004
23,Three,medium,4.1362428
23,Two,high,6.739459399999999
23,Two,low,5.718354
23,Two,medium,3.3642944
24,Cone,high,2.4865234
24,Cone,low,3.8454588000000003
24,Cone,medium,3.7173339999999997
24,Gravity,high,16.3862552
24,Gravity,low,7.448510799999999
24,Gravity,medium,8.6455564
24,Three,high,7.6917116
24,Three,low,5.1049324
24,Three,medium,7.549140799999999
24,Two,high,5.29906
24,Two,low,4.0968746000000005
24,Two,medium,6.470764
25,Cone,high,6.7305662
25,Cone,low,2.420044
25,Cone,medium,3.0381226
25,Gravity,high,4.2382691999999995
25,Gravity,low,2.773999
25,Gravity,medium,3.6012087999999998
25,Three,high,1.8081251999999999
25,Three,low,1.610579
25,Three,medium,2.5491064000000003
25,Two,high,1.8679932000000001
25,Two,low,2.4394592
25,Two,medium,1.8022459999999998
3,Cone,high,1.5982908
3,Cone,low,2.765088
3,Cone,medium,2.09187
3,Gravity,high,6.0086624
3,Gravity,low,5.4967163999999995
3,Gravity,medium,5.9115546000000005
3,Three,high,3.2974608000000005
3,Three,low,3.1857786
3,Three,medium,2.4992064
3,Two,high,4.3385744
3,Two,low,1.929175
3,Two,medium,2.3199708
4,Cone,high,1.84497475
4,Cone,low,2.1424803999999997
4,Cone,medium,3.4807344000000002
4,Gravity,high,4.9782472
4,Gravity,low,5.163184
4,Gravity,medium,4.8896866
4,Three,high,4.4701416
4,Three,low,4.0838412
4,Three,medium,2.9637572
4,Two,high,4.1700166
4,Two,low,3.3999358
4,Two,medium,3.672368
5,Cone,high,5.7001348
5,Cone,low,5.995239
5,Cone,medium,2.912427
5,Gravity,high,7.7180096
5,Gravity,low,3.4722304
5,Gravity,medium,4.8312498
5,Three,high,4.4239014
5,Three,low,3.6958742
5,Three,medium,3.1367432
5,Two,high,6.049080399999999
5,Two,low,3.3373503999999996
5,Two,medium,2.919165
6,Cone,high,5.3435666
6,Cone,low,4.327195
6,Cone,medium,3.923407
6,Gravity,high,9.778948799999998
6,Gravity,low,8.882565
6,Gravity,medium,6.498873999999999
6,Three,high,8.2690582
6,Three,low,4.3513886
6,Three,medium,4.965545799999999
6,Two,high,3.9134566
6,Two,low,5.0823548
6,Two,medium,3.1754606
7,Cone,high,8.3590096
7,Cone,low,5.3102052
7,Cone,medium,6.025512
7,Gravity,high,10.7840582
7,Gravity,low,5.6909865
7,Gravity,medium,6.777459
7,Three,high,6.6338074
7,Three,low,4.0607225
7,Three,medium,9.181523199999999
7,Two,high,4.7370849999999995
7,Two,low,6.032605
7,Two,medium,7.0201256
8,Cone,high,5.2711134
8,Cone,low,3.9569732
8,Cone,medium,4.20809075
8,Gravity,high,10.4608074
8,Gravity,low,3.9594785999999997
8,Gravity,medium,5.7470856
8,Three,high,8.13455125
8,Three,low,3.8996682
8,Three,medium,4.057853799999999
8,Two,high,7.3559045
8,Two,low,3.4348824000000002
8,Two,medium,6.6006746
9,Cone,high,2.311377
9,Cone,low,2.358423
9,Cone,medium,2.7651366
9,Gravity,high,7.0863738
9,Gravity,low,7.6962574
9,Gravity,medium,5.646908600000001
9,Three,high,3.808838
9,Three,low,2.6218996
9,Three,medium,4.9307616
9,Two,high,9.2454468
9,Two,low,4.159136999999999
9,Two,medium,5.3588043999999995
